label,xmin,ymin,xmax,ymax,confidence score,timestamp,frame number,number of objects in frame
Car-HatchBack-:Suzuki Alto,0.0,0.36041700000000004,0.377358,0.9916670000000001,0.830197,08:33:39,1,3
Car-HatchBack-:Suzuki Alto,0.0,0.3583335,0.371462,0.9937505,0.799192,08:33:39,1,3
Car-HatchBack-:Suzuki Alto,0.0,0.2875,0.268868,0.99375,0.729485,08:33:47,1,4
Car-HatchBack-:Suzuki Alto,5.000000000143778e-07,0.27916650000000004,0.2853775,0.9999994999999999,0.821407,08:33:47,1,3
Car-HatchBack-:Suzuki Alto,-5.000000000143778e-07,0.27708350000000004,0.3018865,0.9916665,0.787156,08:33:47,1,4
Car-HatchBack-:Suzuki Alto,0.0,0.2708335,0.321934,0.9916665,0.717778,08:33:47,1,4
Car-HatchBack-:Suzuki Alto,0.0,0.2729165,0.334906,0.9874995,0.789931,08:33:47,1,4
Car-HatchBack-:Suzuki Alto,5.000000000143778e-07,0.26875000000000004,0.3478775,0.9875,0.807632,08:33:47,1,4
Car-HatchBack-:Suzuki Alto,-5.000000000005e-07,0.20416649999999997,0.2299525,0.9937495000000001,0.603049,08:33:36,1,1
Car-HatchBack-:Suzuki Mehran,5.000000000143778e-07,0.15833299999999995,0.2889155,0.989583,0.65698,08:33:36,1,2
Car-HatchBack-:Suzuki Mehran,0.0,0.20000050000000003,0.316038,0.9770835,0.620945,08:33:36,1,2
Car-HatchBack-:Suzuki Mehran,5.000000000143778e-07,0.20416650000000003,0.3384435,0.9708335,0.608493,08:33:36,1,2
Car-HatchBack-:Suzuki Mehran,-5.000000000143778e-07,0.20833349999999995,0.3549525,0.9729165,0.734127,08:33:36,1,2
Car-HatchBack-:Suzuki Mehran,0.0,0.21041649999999995,0.369104,0.9708334999999999,0.783489,08:33:36,1,2
Car-HatchBack-:Suzuki Mehran,-5.000000000143778e-07,0.21458349999999998,0.3832545,0.9750004999999999,0.722313,08:33:36,1,2
Car-HatchBack-:Suzuki Mehran,0.0,0.19166700000000003,0.416274,0.9604170000000001,0.734955,08:33:36,1,2
Car-HatchBack-:Suzuki Mehran,-5.000000000143778e-07,0.21249999999999997,0.4268865,0.95625,0.769836,08:33:36,1,2
Car-HatchBack-:Suzuki Mehran,0.002359,0.20625000000000004,0.442217,0.96875,0.856011,08:33:36,1,2
Car-HatchBack-:Suzuki Mehran,0.010613499999999998,0.21041650000000006,0.4563685,0.9624995000000001,0.86734,08:33:36,1,2
Car-HatchBack-:Suzuki Alto,0.0,0.3625,0.365566,0.9937499999999999,0.811518,08:33:39,1,3
Car-HatchBack-:Suzuki Alto,5.000000000143778e-07,0.36250049999999995,0.3608495,0.9958335,0.8013,08:33:39,1,3
Car-HatchBack-:Suzuki Alto,5.000000000143778e-07,0.36250000000000004,0.3514155,1.0,0.813801,08:33:39,1,3
Car-HatchBack-:Suzuki Alto,5.000000000143778e-07,0.3645835,0.3478775,1.0000005,0.807648,08:33:40,1,3
Car-HatchBack-:Suzuki Alto,0.0,0.36250000000000004,0.34434,1.0,0.803311,08:33:40,1,3
Car-HatchBack-:Suzuki Alto,-5.000000000143778e-07,0.35624999999999996,0.3396225,1.0,0.832048,08:33:40,1,3
Car-Sedan-:Honda Civic,0.1426885,0.3208335,0.6627355,0.7979164999999999,0.81607,08:33:38,1,2
Car-HatchBack-:Suzuki Alto,-5.000000000143778e-07,0.35833349999999997,0.3360845,1.0000005,0.847178,08:33:40,1,3
Car-HatchBack-:Suzuki Alto,5.000000000143778e-07,0.36874999999999997,0.3136795,1.0,0.697551,08:33:40,1,3
Car-HatchBack-:Suzuki Mehran,0.10023600000000002,0.21875000000000006,0.528302,0.9437500000000001,0.623182,08:33:35,1,2
Car-HatchBack-:Suzuki Mehran,0.08136750000000004,0.20416649999999997,0.5047165,0.9458335,0.672146,08:33:35,1,2
Car-HatchBack-:Suzuki Mehran,0.049528499999999975,0.2124995,0.5035375,0.9541664999999999,0.826686,08:33:35,1,2
Car-HatchBack-:Suzuki Mehran,0.04363249999999999,0.21041649999999995,0.4882075,0.9499994999999999,0.78986,08:33:36,1,2
Car-HatchBack-:Suzuki Mehran,0.02830200000000002,0.20624949999999992,0.46344399999999997,0.9541664999999999,0.692961,08:33:36,1,2
Car-HatchBack-:Suzuki Alto,0.0,0.35000000000000003,0.331368,1.0,0.795468,08:33:40,1,3
Car-Sedan-:Honda Civic,0.11084949999999999,0.32291649999999994,0.6556605,0.8062495,0.835642,08:33:38,1,2
